,ks,FDR,rank_FDR,rank_ks,average_rank
Merchnum_avg_1,0.552204725617014,0.26772793053545585,403.0,454.5,428.75
merch_zip_avg_1,0.5524647934113726,0.2662807525325615,398.0,457.0,427.5
Cardnum_total_30,0.49124985612690814,0.3950795947901592,454.5,374.5,414.5
card_transtype_total_30,0.49124985612690814,0.3950795947901592,454.5,374.5,414.5
merch_zip_avg_3,0.5440362285744837,0.2590448625180897,387.0,441.0,414.0
merch_state_avg_3,0.5462524362157803,0.25615050651230103,379.5,448.0,413.75
merch_state_max_14,0.4894766140090223,0.37626628075253254,451.0,373.0,412.0
Merchnum_avg_3,0.5431301758838671,0.2575976845151954,384.0,438.5,411.25
merch_transtype_avg_3,0.5431301758838671,0.2575976845151954,384.0,438.5,411.25
merch_zip_max_14,0.48142695486054216,0.3748191027496382,450.0,372.0,411.0
Cardnum_med_1,0.5138900441645597,0.2778581765557164,413.5,399.5,406.5
card_transtype_med_1,0.5138900441645597,0.2778581765557164,413.5,399.5,406.5
card_state_med_0,0.5185517215390645,0.26772793053545585,403.0,405.0,404.0
Cardnum_med_0,0.51030763478157,0.276410998552822,411.0,393.5,402.25
card_transtype_med_0,0.51030763478157,0.276410998552822,411.0,393.5,402.25
card_zip_med_0,0.5196605265010619,0.26483357452966716,393.5,410.0,401.75
Merchnum_max_14,0.4778964299373823,0.3342981186685962,441.5,361.5,401.5
merch_transtype_max_14,0.4778964299373823,0.3342981186685962,441.5,361.5,401.5
card_merch_med_0,0.5195990041299896,0.26483357452966716,393.5,408.0,400.75
card_state_med_1,0.5172989711451844,0.2662807525325615,398.0,403.0,400.5
Cardnum_med_3,0.5006390291289062,0.2793053545586107,416.5,381.5,399.0
card_transtype_med_3,0.5006390291289062,0.2793053545586107,416.5,381.5,399.0
card_merch_med_1,0.5191347372646411,0.2619392185238784,388.0,407.0,397.5
card_merch_med_3,0.5225101430112444,0.25470332850940663,376.5,416.0,396.25
card_zip_med_3,0.5212475321215666,0.25615050651230103,379.5,413.0,396.25
card_zip_med_1,0.5168263796174694,0.2633863965267728,390.0,402.0,396.0
Cardnum_med_14,0.4779370516187161,0.28798842257597684,427.0,363.5,395.25
card_transtype_med_14,0.4779370516187161,0.28798842257597684,427.0,363.5,395.25
card_state_med_3,0.5189586728814353,0.2575976845151954,384.0,406.0,395.0
Cardnum_med_30,0.48071130099848985,0.2793053545586107,416.5,370.5,393.5
card_transtype_med_30,0.48071130099848985,0.2793053545586107,416.5,370.5,393.5
card_merch_med_30,0.5283715511385678,0.24457308248914617,362.0,419.0,390.5
card_zip_med_30,0.5196508885898193,0.2460202604920405,364.5,409.0,386.75
card_merch_med_14,0.5178553880164081,0.2460202604920405,364.5,404.0,384.25
card_zip_med_7,0.510744034060601,0.24891461649782923,368.5,395.0,381.75
card_zip_med_14,0.5117536330863216,0.2460202604920405,364.5,397.0,380.75
card_state_med_30,0.5111802997888986,0.24167872648335745,361.0,396.0,378.5
card_merch_med_7,0.5102965055538073,0.2460202604920405,364.5,392.0,378.25
merch_transtype_med_0,0.49915552532659446,0.2532561505065123,373.5,379.5,376.5
Merchnum_med_0,0.49915552532659446,0.2532561505065123,373.5,379.5,376.5
card_state_med_7,0.5038366120743174,0.24891461649782923,368.5,383.0,375.75
merch_state_med_0,0.49881715228569745,0.2532561505065123,373.5,378.0,375.75
card_transtype_med_7,0.47048311777391766,0.26483357452966716,393.5,357.5,375.5
Cardnum_med_7,0.47048311777391766,0.26483357452966716,393.5,357.5,375.5
merch_zip_med_0,0.4974622578394114,0.2532561505065123,373.5,377.0,375.25
merch_zip_avg_7,0.5092313494230953,0.2402315484804631,357.5,390.0,373.75
merch_state_avg_7,0.5093082523869357,0.23878437047756873,353.0,391.0,372.0
merch_state_max_30,0.4792495659656819,0.25470332850940663,376.5,366.0,371.25
Merchnum_avg_7,0.506002827224504,0.23878437047756873,353.0,386.5,369.75
merch_transtype_avg_7,0.506002827224504,0.23878437047756873,353.0,386.5,369.75
card_state_med_14,0.49399307721967944,0.2402315484804631,357.5,376.0,366.75
merch_zip_max_30,0.47477381347018066,0.25180897250361794,371.0,360.0,365.5
merch_state_med_1,0.47953983848418846,0.2402315484804631,357.5,369.0,363.25
Merchnum_med_1,0.4793384884955058,0.2402315484804631,357.5,367.5,362.5
merch_transtype_med_1,0.4793384884955058,0.2402315484804631,357.5,367.5,362.5
merch_zip_med_1,0.4783233693728148,0.2402315484804631,357.5,365.0,361.25
merch_state_total_14,0.47213186835004994,0.23589001447178004,351.0,359.0,355.0
merch_zip_avg_14,0.4702890463001917,0.23154848046309695,347.5,356.0,351.75
merch_zip_total_14,0.4654972237362299,0.23299565846599132,350.0,350.0,350.0
merch_state_avg_14,0.4700737180014391,0.2301013024602026,342.5,355.0,348.75
merch_state_actual/med_30,0.376774686135188,0.2575976845151954,384.0,313.0,348.5
Merchnum_max_30,0.467023396997784,0.2301013024602026,342.5,353.5,348.0
merch_transtype_max_30,0.467023396997784,0.2301013024602026,342.5,353.5,348.0
merch_zip_actual/med_30,0.37557219533388425,0.2575976845151954,384.0,311.0,347.5
Merchnum_avg_14,0.46583007668015664,0.2301013024602026,342.5,351.5,347.0
merch_transtype_avg_14,0.46583007668015664,0.2301013024602026,342.5,351.5,347.0
merch_transtype_actual/med_30,0.37508282093070305,0.25615050651230103,379.5,307.5,343.5
Merchnum_actual/med_30,0.37508282093070305,0.25615050651230103,379.5,307.5,343.5
Cardnum_count_1,0.37812931348000783,0.24891461649782923,368.5,317.5,343.0
card_transtype_count_1,0.37812931348000783,0.24891461649782923,368.5,317.5,343.0
merch_zip_med_3,0.4525412000116545,0.2199710564399421,335.0,345.0,340.0
Merchnum_med_3,0.4536178415054177,0.21852387843704776,333.0,346.5,339.75
merch_transtype_med_3,0.4536178415054177,0.21852387843704776,333.0,346.5,339.75
merch_state_med_3,0.45174140918771616,0.21852387843704776,333.0,344.0,338.5
merch_zip_avg_30,0.4204335337254665,0.21273516642547033,329.0,338.0,333.5
merch_transtype_avg_30,0.4176202875316123,0.2141823444283647,330.5,335.5,333.0
Merchnum_avg_30,0.4176202875316123,0.2141823444283647,330.5,335.5,333.0
merch_state_avg_30,0.4202571577238833,0.2098408104196816,328.0,337.0,332.5
merch_transtype_total_14,0.4635662804609467,0.1736613603473227,315.5,348.5,332.0
Merchnum_total_14,0.4635662804609467,0.1736613603473227,315.5,348.5,332.0
merch_zip_med_7,0.39710471359077026,0.191027496382055,322.0,328.0,325.0
Cardnum_count_3,0.41415649345811745,0.170767004341534,311.5,333.5,322.5
card_transtype_count_3,0.41415649345811745,0.170767004341534,311.5,333.5,322.5
merch_transtype_med_7,0.3957777757646242,0.191027496382055,322.0,322.5,322.25
Merchnum_med_7,0.3957777757646242,0.191027496382055,322.0,322.5,322.25
merch_state_med_7,0.3908392032033835,0.191027496382055,322.0,320.0,321.0
card_state_count_1,0.3963164526467941,0.17945007235890015,317.0,324.0,320.5
merch_state_total_30,0.42930826930336174,0.13603473227206947,297.5,343.0,320.25
merch_state_actual/avg_30,0.36975118630333953,0.22575976845151954,339.0,298.0,318.5
merch_zip_actual/avg_30,0.368963971506773,0.22431259044862517,337.0,297.0,317.0
Merchnum_actual/avg_30,0.3685039560064297,0.22431259044862517,337.0,295.5,316.25
merch_transtype_actual/avg_30,0.3685039560064297,0.22431259044862517,337.0,295.5,316.25
merch_zip_total_30,0.4240718563487358,0.13024602026049203,285.0,340.0,312.5
card_state_actual/total_1,0.3964087362034024,0.14037626628075253,299.5,325.0,312.25
merch_state_actual/med_14,0.342242272737886,0.23154848046309695,347.5,272.0,309.75
merch_transtype_actual/med_14,0.3404427433840247,0.23154848046309695,347.5,269.5,308.5
Merchnum_actual/med_14,0.3404427433840247,0.23154848046309695,347.5,269.5,308.5
card_state_count_3,0.4062548975557923,0.1287988422575977,284.0,332.0,308.0
card_merch_count_3,0.37740515688794474,0.14037626628075253,299.5,314.5,307.0
merch_zip_med_14,0.3725557962164499,0.16931982633863965,309.0,304.0,306.5
Merchnum_med_14,0.3700892922427702,0.170767004341534,311.5,299.5,305.5
merch_transtype_med_14,0.3700892922427702,0.170767004341534,311.5,299.5,305.5
merch_zip_actual/med_14,0.3394387980060074,0.2301013024602026,342.5,268.0,305.25
card_zip_count_1,0.36264526341068054,0.18668596237337193,319.0,291.0,305.0
merch_zip_med_30,0.3757968944424131,0.1345875542691751,295.0,312.0,303.5
card_merch_count_1,0.35955091518199617,0.1837916063675832,318.0,288.0,303.0
card_merch_actual/total_1,0.35964319873860445,0.17221418234442837,314.0,289.0,301.5
card_merch_actual/total_3,0.3774205374807128,0.1316931982633864,286.5,316.0,301.25
Merchnum_med_30,0.37519424675906315,0.13314037626628075,290.5,309.5,300.0
merch_transtype_med_30,0.37519424675906315,0.13314037626628075,290.5,309.5,300.0
merch_state_med_14,0.36655175590611977,0.1678726483357453,306.5,293.0,299.75
merch_state_actual/med_7,0.34095161619424613,0.19247467438494936,326.0,271.0,298.5
card_zip_count_3,0.3721604192709524,0.1345875542691751,295.0,302.0,298.5
merch_state_med_30,0.3731640085136812,0.13314037626628075,290.5,305.0,297.75
card_zip_actual/total_1,0.3627375469672887,0.16353111432706222,303.0,292.0,297.5
merch_state_actual/avg_14,0.3512747985070008,0.1678726483357453,306.5,283.0,294.75
merch_zip_actual/med_7,0.33901085694007627,0.191027496382055,322.0,267.0,294.5
card_state_day_since,0.403183431019388,0.10709117221418235,258.5,330.0,294.25
Merchnum_actual/med_7,0.33695125979185625,0.19247467438494936,326.0,262.5,294.25
merch_transtype_actual/med_7,0.33695125979185625,0.19247467438494936,326.0,262.5,294.25
merch_transtype_actual/avg_14,0.34995066524625074,0.1678726483357453,306.5,281.5,294.0
Merchnum_actual/avg_14,0.34995066524625074,0.1678726483357453,306.5,281.5,294.0
merch_zip_actual/avg_14,0.3492095922279884,0.16642547033285093,304.0,280.0,292.0
card_zip_actual/total_3,0.37217579986372035,0.11287988422575977,267.0,303.0,285.0
Merchnum_total_30,0.42449554604966167,0.08972503617945007,227.5,341.5,284.5
merch_transtype_total_30,0.42449554604966167,0.08972503617945007,227.5,341.5,284.5
Cardnum_count_0,0.33753414196669973,0.1548480463096961,301.5,265.5,283.5
card_transtype_count_0,0.33753414196669973,0.1548480463096961,301.5,265.5,283.5
card_merch_day_since,0.37740515688794474,0.10274963820549927,250.5,314.5,282.5
merch_state_actual/avg_7,0.34693041541601044,0.12735166425470332,281.5,279.0,280.25
merch_transtype_actual/avg_7,0.3452679091143634,0.12735166425470332,281.5,275.5,278.5
Merchnum_actual/avg_7,0.3452679091143634,0.12735166425470332,281.5,275.5,278.5
merch_zip_actual/avg_7,0.34578944698577885,0.12590448625180897,279.0,277.0,278.0
card_zip_day_since,0.3721604192709523,0.10419681620839363,253.5,301.0,277.25
card_state_actual/total_3,0.4031988116121561,0.08827785817655572,222.0,331.0,276.5
card_merch_actual/max_1,0.3289767451892299,0.13314037626628075,290.5,256.0,273.25
card_merch_actual/max_3,0.34653034193639703,0.10709117221418235,258.5,278.0,268.25
card_zip_actual/max_1,0.332096245472658,0.11866859623733719,272.0,261.0,266.5
merch_state_actual/avg_3,0.2981163982337738,0.12301013024602026,278.0,238.0,258.0
card_zip_actual/max_3,0.3437269117214295,0.0955137481910275,241.5,274.0,257.75
card_state_actual/max_1,0.35793581939061825,0.08972503617945007,227.5,287.0,257.25
merch_zip_actual/avg_3,0.2964986314277328,0.12156295224312591,276.5,237.0,256.75
merch_transtype_actual/avg_3,0.29560795932988426,0.12011577424023155,274.5,235.5,255.0
Merchnum_actual/avg_3,0.29560795932988426,0.12011577424023155,274.5,235.5,255.0
card_state_count_0,0.3122750463103861,0.10564399421128799,256.5,247.0,251.75
merch_state_actual/med_3,0.2735942132645393,0.1345875542691751,295.0,206.0,250.5
card_zip_actual/total_0,0.29500110479844,0.10998552821997105,265.0,234.0,249.5
card_merch_actual/total_0,0.2933595437034424,0.11432706222865413,269.0,230.0,249.5
Merchnum_actual/med_3,0.2697952068508321,0.13314037626628075,290.5,203.5,247.0
merch_transtype_actual/med_3,0.2697952068508321,0.13314037626628075,290.5,203.5,247.0
card_state_actual/total_0,0.3124288522380666,0.09985528219971057,245.5,248.0,246.75
merch_zip_actual/med_3,0.27114589444902387,0.1316931982633864,286.5,205.0,245.75
card_merch_count_0,0.29329802133237015,0.1085383502170767,262.0,229.0,245.5
card_zip_count_0,0.29493958242736784,0.10564399421128799,256.5,233.0,244.75
card_merch_actual/total_7,0.35183691354283897,0.07525325615050651,201.0,284.0,242.5
card_state_actual/max_3,0.3618440703040441,0.07091172214182344,194.5,290.0,242.25
card_merch_actual/max_0,0.2512191679491061,0.13603473227206947,297.5,187.0,242.25
card_zip_actual/total_7,0.3522117014169755,0.06657018813314038,189.0,286.0,237.5
card_state_count_7,0.42301422357599144,0.04341534008683068,130.5,339.0,234.75
card_merch_actual/max_7,0.3314015368172549,0.07959479015918958,205.0,260.0,232.5
card_zip_actual/max_0,0.2527796192321692,0.12156295224312591,276.5,188.0,232.25
card_transtype_count_7,0.3967776923621913,0.04630969609261939,136.5,326.5,231.5
Cardnum_count_7,0.3967776923621913,0.04630969609261939,136.5,326.5,231.5
card_merch_count_7,0.39888053768949705,0.04341534008683068,130.5,329.0,229.75
card_state_actual/total_7,0.35214067468539395,0.056439942112879886,170.0,285.0,227.5
card_zip_actual/max_7,0.32920496113373177,0.06801736613603473,193.0,257.0,225.0
card_state_actual/max_0,0.26458919894645394,0.10419681620839363,253.5,195.0,224.25
merch_state_actual/avg_1,0.26936713223416775,0.0955137481910275,241.5,202.0,221.75
Merchnum_actual/avg_1,0.2673368939887858,0.09261939218523878,236.0,199.5,217.75
merch_transtype_actual/avg_1,0.2673368939887858,0.09261939218523878,236.0,199.5,217.75
Merchnum_day_since,0.2430897344960231,0.1085383502170767,262.0,171.5,216.75
merch_transtype_day_since,0.2430897344960231,0.1085383502170767,262.0,171.5,216.75
card_zip_count_7,0.3904700244600393,0.0361794500723589,114.5,319.0,216.75
Cardnum_actual/avg_30,0.3210117126886574,0.060781476121562955,179.5,252.5,216.0
card_transtype_actual/avg_30,0.3210117126886574,0.060781476121562955,179.5,252.5,216.0
merch_zip_actual/avg_1,0.2671495223101731,0.09117221418234443,233.0,198.0,215.5
merch_zip_day_since,0.24807024198747363,0.10274963820549927,250.5,180.0,215.25
merch_state_day_since,0.24944191930922577,0.10130246020260492,248.0,182.0,215.0
card_zip_actual/med_7,0.2293871399146704,0.11866859623733719,272.0,146.0,209.0
card_merch_actual/med_7,0.23125235397078725,0.11577424023154848,270.0,147.0,208.5
card_transtype_day_since,0.29328037037713856,0.06657018813314038,189.0,227.5,208.25
Cardnum_day_since,0.29328037037713856,0.06657018813314038,189.0,227.5,208.25
card_merch_actual/max_14,0.3011367816147473,0.059334298118668596,176.0,240.0,208.0
card_merch_actual/total_14,0.31890149981257265,0.053545586107091175,164.0,249.0,206.5
Cardnum_actual/total_0,0.3113508529785164,0.053545586107091175,164.0,245.5,204.75
card_transtype_actual/total_0,0.3113508529785164,0.053545586107091175,164.0,245.5,204.75
card_state_count_0_by_7,0.261085450945291,0.08393632416787265,212.5,192.0,202.25
card_merch_count_0_by_7,0.23982916012147504,0.09406657018813314,239.0,164.0,201.5
merch_state_actual/med_1,0.23573538498124513,0.09406657018813314,239.0,161.0,200.0
card_merch_actual/avg_1,0.21860665763314666,0.1085383502170767,262.0,133.0,197.5
card_zip_count_0_by_7,0.232205995239317,0.09840810419681621,244.0,150.0,197.0
card_state_actual/max_7,0.3267708877297526,0.04630969609261939,136.5,254.0,195.25
card_merch_actual/avg_3,0.22697939826357783,0.10130246020260492,248.0,142.0,195.0
Cardnum_count_1_by_30,0.3027246998319286,0.049204052098408106,148.5,241.0,194.75
merch_zip_actual/med_1,0.23293331253206473,0.09117221418234443,233.0,153.0,193.0
card_merch_actual/med_3,0.21826543550994248,0.10419681620839363,253.5,131.0,192.25
card_merch_actual/med_14,0.21003134279897895,0.11287988422575977,267.0,117.0,192.0
card_zip_actual/max_14,0.29097165659467844,0.05209840810419682,159.5,224.0,191.75
card_state_actual/med_7,0.24372067267634578,0.07814761215629522,203.0,177.0,190.0
card_zip_count_30,0.3280890557244218,0.04052098408104197,124.0,255.0,189.5
card_zip_actual/avg_1,0.21787680287646913,0.10130246020260492,248.0,130.0,189.0
merch_transtype_actual/med_1,0.2314288190061924,0.08972503617945007,227.5,148.5,188.0
Merchnum_actual/med_1,0.2314288190061924,0.08972503617945007,227.5,148.5,188.0
card_state_actual/med_3,0.22581468006130068,0.09261939218523878,236.0,139.0,187.5
card_zip_actual/total_14,0.30811681068295466,0.04341534008683068,130.5,242.0,186.25
card_merch_actual/med_1,0.20660966172333828,0.1085383502170767,262.0,109.0,185.5
card_zip_actual/avg_3,0.22431018653542845,0.09117221418234443,233.0,138.0,185.5
card_transtype_actual/med_30,0.24804333151474328,0.06657018813314038,189.0,178.5,183.75
card_zip_actual/med_1,0.20832532121677994,0.10419681620839363,253.5,114.0,183.75
Cardnum_actual/med_30,0.24804333151474328,0.06657018813314038,189.0,178.5,183.75
card_state_count_14,0.393274945991527,0.013024602026049204,45.5,321.0,183.25
card_state_actual/avg_1,0.2388505003489347,0.07814761215629522,203.0,163.0,183.0
card_zip_actual/med_3,0.21476426948962046,0.09406657018813314,239.0,127.0,183.0
card_transtype_actual/total_1,0.30968874732906876,0.03762662807525326,118.0,243.5,180.75
Cardnum_actual/total_1,0.30968874732906876,0.03762662807525326,118.0,243.5,180.75
card_state_actual/avg_3,0.23320595635379518,0.08104196816208394,206.5,154.0,180.25
card_merch_actual/avg_0,0.1815266749671415,0.12735166425470332,281.5,74.0,177.75
card_transtype_actual/avg_14,0.24955374578978534,0.056439942112879886,170.0,184.5,177.25
Cardnum_actual/avg_14,0.24955374578978534,0.056439942112879886,170.0,184.5,177.25
card_transtype_actual/max_30,0.3196794328331851,0.03183791606367583,99.5,250.5,175.0
Cardnum_actual/max_30,0.3196794328331851,0.03183791606367583,99.5,250.5,175.0
card_state_actual/total_14,0.2863982785132429,0.041968162083936326,127.0,220.0,173.5
card_zip_actual/avg_0,0.18327169336342114,0.11287988422575977,267.0,77.0,172.0
merch_zip_count_3,0.2894434132967606,0.03907380607814761,121.0,223.0,172.0
Unnamed: 0,0.2509688493582676,0.05065123010130246,155.5,186.0,170.75
Cardnum_count_1_by_14,0.2744440856134098,0.041968162083936326,127.0,208.0,167.5
