,ks,FDR,rank_FDR,rank_ks,average_rank
card_transtype_actual/med_1,0.1951221618605059,0.049204052098408106,148.5,100.5,124.5
Cardnum_actual/med_1,0.1951221618605059,0.049204052098408106,148.5,100.5,124.5
merch_zip_actual/total_1,0.24033778808868578,0.023154848046309694,74.0,166.0,120.0
merch_zip_count_1,0.2684850964170631,0.011577424023154847,38.5,201.0,119.75
card_transtype_actual/avg_0,0.16892173386156795,0.05788712011577424,173.0,65.5,119.25
Cardnum_actual/avg_0,0.16892173386156795,0.05788712011577424,173.0,65.5,119.25
Merchnum_count_1,0.2660479958631325,0.011577424023154847,38.5,196.5,117.5
merch_transtype_count_1,0.2660479958631325,0.011577424023154847,38.5,196.5,117.5
merch_state_count_14,0.28402283388111765,0.002894356005788712,10.5,219.0,114.75
Merchnum_count_14,0.27837955861794306,0.005788712011577424,16.0,213.5,114.75
merch_transtype_count_14,0.27837955861794306,0.005788712011577424,16.0,213.5,114.75
merch_zip_count_0,0.23348719193935857,0.023154848046309694,74.0,155.0,114.5
merch_zip_count_1_by_7,0.16538956181269926,0.059334298118668596,176.0,53.0,114.5
merch_state_count_0,0.2381656967062405,0.01881331403762663,61.5,162.0,111.75
Merchnum_count_7,0.2765115845133413,0.002894356005788712,10.5,209.5,110.0
Cardnum_count_0_by_30,0.1936917222161666,0.03907380607814761,121.0,99.0,110.0
merch_state_count_7,0.2824163298535725,0.001447178002894356,4.0,216.0,110.0
merch_transtype_count_7,0.2765115845133413,0.002894356005788712,10.5,209.5,110.0
Cardnum_count_30,0.25821135013403035,0.010130246020260492,28.5,190.5,109.5
card_transtype_count_30,0.25821135013403035,0.010130246020260492,28.5,190.5,109.5
Cardnum_actual/max_14,0.22629828952450087,0.024602026049204053,76.5,140.5,108.5
card_transtype_actual/max_14,0.22629828952450087,0.024602026049204053,76.5,140.5,108.5
merch_state_count_1_by_14,0.11184985193786678,0.0723589001447178,198.0,15.0,106.5
merch_zip_actual/max_1,0.1614683342197022,0.05209840810419682,159.5,51.0,105.25
merch_state_actual/max_1,0.16590074950229539,0.05065123010130246,155.5,55.0,105.25
merch_zip_count_1_by_14,0.10636454493355596,0.0723589001447178,198.0,12.0,105.0
merch_state_actual/total_3,0.24945729990199383,0.008683068017366137,21.0,183.0,102.0
merch_state_actual/total_1,0.2431090993523301,0.010130246020260492,28.5,175.0,101.75
card_state_count_1_by_30,0.13367003847396297,0.059334298118668596,176.0,27.0,101.5
Cardnum_count_1_by_7,0.1847309799661213,0.0361794500723589,114.5,85.0,99.75
card_state_actual/total_30,0.20948111377839135,0.02604920405209841,82.0,116.0,99.0
Merchnum_actual/max_1,0.15713521390720764,0.049204052098408106,148.5,46.5,97.5
merch_transtype_actual/max_1,0.15713521390720764,0.049204052098408106,148.5,46.5,97.5
Merchnum_actual/total_3,0.24310511508879118,0.008683068017366137,21.0,173.5,97.25
merch_transtype_actual/total_3,0.24310511508879118,0.008683068017366137,21.0,173.5,97.25
Merchnum_count_1_by_14,0.10911210642515479,0.060781476121562955,179.5,14.0,96.75
card_transtype_actual/max_3,0.24192334690958145,0.008683068017366137,21.0,169.5,95.25
Cardnum_actual/max_3,0.24192334690958145,0.008683068017366137,21.0,169.5,95.25
merch_transtype_actual/max_30,0.21871601342514294,0.015918958031837915,53.0,134.5,93.75
Merchnum_actual/max_30,0.21871601342514294,0.015918958031837915,53.0,134.5,93.75
merch_transtype_actual/total_1,0.23484972103588975,0.010130246020260492,28.5,157.5,93.0
Merchnum_actual/total_1,0.23484972103588975,0.010130246020260492,28.5,157.5,93.0
merch_zip_actual/max_30,0.21568884121523424,0.017366136034732273,57.5,128.0,92.75
card_merch_count_0_by_30,0.14241558597598888,0.049204052098408106,148.5,34.0,91.25
merch_state_count_0_by_7,0.19185132633796076,0.02604920405209841,82.0,97.0,89.5
merch_state_actual/max_0,0.13764488668632074,0.049204052098408106,148.5,30.0,89.25
Cardnum_count_0_by_7,0.07607931195196482,0.05788712011577424,173.0,5.0,89.0
merch_state_actual/max_30,0.21441084973278834,0.01447178002894356,49.5,126.0,87.75
merch_zip_count_0_by_7,0.1884605845155003,0.02604920405209841,82.0,93.0,87.5
merch_transtype_actual/total_7,0.20391830283194112,0.02170767004341534,70.0,104.5,87.25
Merchnum_actual/total_7,0.20391830283194112,0.02170767004341534,70.0,104.5,87.25
merch_zip_actual/max_0,0.1359068797035316,0.04775687409551375,141.5,28.0,84.75
merch_state_count_30,0.24029571960774282,0.001447178002894356,4.0,165.0,84.5
merch_zip_count_30,0.2336890316140628,0.002894356005788712,10.5,156.0,83.25
Merchnum_count_1_by_7,0.16576710973532083,0.03473227206946455,111.5,54.0,82.75
Merchnum_count_30,0.23514462331314578,0.001447178002894356,4.0,159.5,81.75
merch_transtype_count_30,0.23514462331314578,0.001447178002894356,4.0,159.5,81.75
Merchnum_count_0_by_7,0.18940721437053964,0.020260492040520984,65.0,95.0,80.0
card_merch_count_1_by_30,0.1039664857106169,0.049204052098408106,148.5,11.0,79.75
Cardnum_count_0_by_14,0.127030474741472,0.04630969609261939,136.5,22.0,79.25
Merchnum_actual/max_14,0.18773954410721078,0.020260492040520984,65.0,91.5,78.25
merch_transtype_actual/max_14,0.18773954410721078,0.020260492040520984,65.0,91.5,78.25
card_transtype_actual/total_7,0.20410255832678015,0.013024602026049204,45.5,106.5,76.0
Cardnum_actual/total_7,0.20410255832678015,0.013024602026049204,45.5,106.5,76.0
merch_state_actual/total_7,0.20759426450350393,0.011577424023154847,38.5,112.0,75.25
card_state_actual/max_30,0.18073229294789583,0.023154848046309694,74.0,73.0,73.5
merch_zip_count_1_by_30,0.10036163980445767,0.04486251808972504,133.0,10.0,71.5
merch_state_actual/max_14,0.18404960412557803,0.01881331403762663,61.5,81.0,71.25
merch_zip_actual/max_14,0.18563520746338477,0.015918958031837915,53.0,87.0,70.0
Merchnum_count_1_by_30,0.10652645293904767,0.04052098408104197,124.0,13.0,68.5
Cardnum_actual/max_7,0.14326688286601297,0.03183791606367583,99.5,36.5,68.0
card_transtype_actual/max_7,0.14326688286601297,0.03183791606367583,99.5,36.5,68.0
card_state_count_1_by_14,0.06786404989437586,0.04341534008683068,130.5,4.0,67.25
merch_state_actual/max_3,0.14861309678174567,0.030390738060781478,94.0,39.0,66.5
card_merch_count_1_by_7,0.09437476076333773,0.04052098408104197,124.0,8.0,66.0
merch_zip_actual/max_3,0.14510351706523505,0.02894356005788712,92.0,38.0,65.0
merch_zip_actual/total_7,0.20828358661266977,0.004341534008683068,14.0,113.0,63.5
Merchnum_count_0_by_14,0.1406214654268202,0.02894356005788712,92.0,33.0,62.5
merch_transtype_actual/max_0,0.12963300013686724,0.03183791606367583,99.5,23.5,61.5
Merchnum_actual/max_0,0.12963300013686724,0.03183791606367583,99.5,23.5,61.5
card_zip_count_1_by_7,0.08143551991422834,0.0361794500723589,114.5,6.0,60.25
card_zip_count_0_by_30,0.12060594994781171,0.03183791606367583,99.5,20.0,59.75
merch_zip_count_0_by_14,0.13755091148709253,0.027496382054992764,88.5,29.0,58.75
card_state_count_0_by_30,0.11666395521580941,0.03183791606367583,99.5,16.0,57.75
card_merch_count_1_by_14,0.06237992258820786,0.03473227206946455,111.5,3.0,57.25
card_zip_count_1_by_14,0.05943386019023367,0.03328509406657019,107.5,2.0,54.75
merch_zip_actual/total_30,0.1628468671457562,0.017366136034732273,57.5,52.0,54.75
merch_transtype_actual/max_7,0.15590732620814945,0.020260492040520984,65.0,42.5,53.75
Merchnum_actual/max_7,0.15590732620814945,0.020260492040520984,65.0,42.5,53.75
Cardnum_actual/total_30,0.1837543457130337,0.010130246020260492,28.5,78.5,53.5
card_transtype_actual/total_30,0.1837543457130337,0.010130246020260492,28.5,78.5,53.5
card_state_count_1_by_7,0.08161846216019156,0.03183791606367583,99.5,7.0,53.25
merch_state_count_0_by_30,0.12120011715960655,0.02604920405209841,82.0,21.0,51.5
Merchnum_actual/max_3,0.14046278489737968,0.02170767004341534,70.0,31.5,50.75
merch_transtype_actual/max_3,0.14046278489737968,0.02170767004341534,70.0,31.5,50.75
merch_zip_count_0_by_30,0.12001300695107087,0.02604920405209841,82.0,19.0,50.5
Merchnum_count_0_by_30,0.11955439373342569,0.02604920405209841,82.0,18.0,50.0
card_zip_count_1_by_30,0.11827315251647308,0.02604920405209841,82.0,17.0,49.5
merch_state_actual/total_14,0.1673223525397911,0.011577424023154847,38.5,59.0,48.75
merch_state_count_1_by_30,0.10025257337238325,0.027496382054992764,88.5,9.0,48.75
merch_state_actual/max_7,0.15123162600666368,0.01447178002894356,49.5,40.0,44.75
Merchnum_actual/total_14,0.16672137424060549,0.010130246020260492,28.5,56.5,42.5
merch_transtype_actual/total_14,0.16672137424060549,0.010130246020260492,28.5,56.5,42.5
Random,0.018746560929505995,0.02604920405209841,82.0,1.0,41.5
merch_state_count_0_by_14,0.14320540501185186,0.013024602026049204,45.5,35.0,40.25
merch_zip_actual/total_14,0.1672258621350885,0.00723589001447178,18.0,58.0,38.0
Merchnum_actual/total_30,0.16919624739356268,0.001447178002894356,4.0,67.5,35.75
merch_transtype_actual/total_30,0.16919624739356268,0.001447178002894356,4.0,67.5,35.75
merch_zip_actual/max_7,0.15312484119983139,0.010130246020260492,28.5,41.0,34.75
Cardnum_actual/total_14,0.1327436638134517,0.011577424023154847,38.5,25.5,32.0
card_transtype_actual/total_14,0.1327436638134517,0.011577424023154847,38.5,25.5,32.0
merch_state_actual/total_30,0.16141647201832798,0.002894356005788712,10.5,50.0,30.25
